개념ID,개념명,영역,학년단계,선수개념IDs,한줄설명,개념설명,예시,그림
D04,평행사변형·마름모·직사각형·정사각형의 성질,평면도형,중2,D02,특별한 사각형들의 변·각·대각선 성질,평행사변형은 두 쌍의 대변이 평행한 사각형이고 마주보는 변과 각이 각각 같으며 대각선은 서로를 이등분합니다. 마름모는 네 변이 모두 같은 사각형이며 대각선이 서로를 수직으로 이등분합니다. 직사각형은 네 각이 모두 직각이며 대각선의 길이가 같고 정사각형은 마름모이자 직사각형이라 위의 모든 성질을 다 가집니다. 모양만 보지 말고 어떤 성질을 만족하는지로 분류하세요.,평행사변형: 마주보는 변·각 같음 / 마름모: 대각선 수직이등분 / 직사각형: 대각선 길이 같음,
D05,다각형의 내각·외각의 합,평면도형,중1,D01,n각형의 내각의 합 = (n-2)·180°,n각형의 한 꼭짓점에서 그을 수 있는 대각선의 개수는 n-3 개이며 이 대각선들로 다각형을 (n-2) 개의 삼각형으로 나눌 수 있어요. 따라서 n각형의 내각의 합은 (n-2)×180° 입니다. 어떤 다각형이든 외각의 합은 항상 360° 라는 특별한 성질이 있어요. 정n각형은 모든 각이 같으므로 한 내각은 (n-2)×180°/n 한 외각은 360°/n 으로 계산됩니다. 자주 헷갈리는 부분은 내각/외각 합 공식 헷갈림이라 외각은 항상 360° 만 외우면 좋아요.,5각형 내각의 합 (5-2)×180°=540°  /  정6각형 한 외각 360°÷6=60°,
D06,도형의 닮음과 닮음비,평면도형,중2,D02,같은 모양 다른 크기 — 변의 비 일정,두 도형이 모양은 같고 크기만 다를 때 닮음 관계라 하고 ∽ 기호로 적습니다. 닮은 두 도형에서 대응하는 변의 길이의 비는 모두 같고 이 비를 닮음비라 부릅니다. 대응하는 각은 모두 같다는 점도 중요합니다. 핵심은 어느 변이 어느 변에 대응하는지 정확히 짝지어야 한다는 것이고 가장 흔한 실수는 대응 변을 잘못 짝짓는 것입니다. 닮음비 m:n 일 때 둘레의 비도 m:n 입니다.,"닮음비 2:3 일 때 변 6 ↔ 9, 둘레 12 ↔ 18",
D07,닮은 도형의 넓이·부피의 비,평면도형,중2,D06,닮음비 m:n 이면 넓이비 m²:n² 부피비 m³:n³,평면 도형의 닮음비가 m:n 이면 넓이비는 m²:n² 이 되고 입체 도형의 닮음비가 m:n 이면 부피비는 m³:n³ 이 됩니다. 변의 비가 한 번 더해지면 넓이가 한 번 더 곱해지고 부피는 두 번 더 곱해진다고 기억하면 쉬워요. 시험에 자주 나오는 형태는 닮음비가 주어지고 넓이나 부피를 구하는 것 또는 그 반대입니다. 자주 하는 실수는 넓이비도 그냥 m:n 으로 쓰는 것이니 제곱·세제곱을 꼭 챙기세요.,닮음비 2:3 → 넓이비 4:9 → 부피비 8:27,
D08,평행선과 선분의 비 (삼각형의 닮음 활용),평면도형,중2,D06,삼각형 안 평행선은 두 변을 같은 비로 나눈다,삼각형의 한 변에 평행한 직선이 다른 두 변과 만나면 그 두 변을 같은 비로 나눕니다. 즉 △ABC 에서 BC 에 평행한 직선이 AB 와 AC 를 D 와 E 에서 만나면 AD/DB = AE/EC 이 성립해요. 또한 △ADE 와 △ABC 가 닮음이므로 DE/BC = AD/AB 도 함께 사용됩니다. 시험에서는 한 변의 길이가 빠져 있고 비례식으로 구하는 형태가 많고 자주 하는 실수는 어디가 어디에 대응하는지 헷갈려 비를 거꾸로 두는 것입니다.,AD=4 DB=6 AE=2 → EC=3 (4:6 = 2:3),
D09,원과 직선 — 접선과 할선,평면도형,중3,,원에 닿는 직선의 종류와 접선의 성질,원과 한 점에서 만나는 직선을 접선이라 하고 접점에서 그은 반지름과 접선은 항상 수직입니다. 원과 두 점에서 만나는 직선을 할선이라 부르며 두 접선이 한 점에서 만나면 그 점에서 두 접점까지의 거리가 같다는 핵심 성질도 자주 출제됩니다. 원 위의 한 점에서 그은 접선과 그 점을 지나는 현이 이루는 각은 그 현이 자르는 호에 대한 원주각과 같다는 접선과 현이 이루는 각 정리도 함께 외우세요.,접점-반지름 ⊥ 접선  /  외부 한 점에서 두 접선의 길이는 같음,circle:3
D10,원주각·중심각,평면도형,중3,D09,같은 호에 대한 원주각은 중심각의 절반,원에서 호를 사이에 둔 두 반지름이 만드는 각이 중심각이고 호 양 끝과 원 위의 다른 한 점이 만드는 각이 원주각입니다. 같은 호에 대해 원주각은 중심각의 1/2 이고 한 호에 대한 원주각은 어느 위치에서 보아도 같다는 핵심 성질이 있습니다. 반원에 대한 원주각은 항상 90° 가 되고 이는 지름을 한 변으로 하는 원에 내접하는 삼각형은 직각삼각형이라는 강력한 결론으로 이어져 시험에 자주 활용됩니다.,중심각 80° → 같은 호 원주각 40°  /  반원의 원주각 = 90°,circle:3
C01,도수분포표·히스토그램,확률·통계,중1,,자료를 계급별로 정리하는 표와 막대그래프,많은 자료를 한눈에 보기 위해 자료를 일정한 구간(계급)으로 나눠 각 구간에 속한 자료의 개수(도수)를 표로 정리한 것이 도수분포표입니다. 이를 가로축 계급 세로축 도수의 막대그래프로 나타낸 것이 히스토그램이에요. 계급의 크기는 모두 같아야 하고 막대 사이는 붙여 그려야 한다는 점이 일반 막대그래프와 다릅니다. 자주 헷갈리는 부분은 계급값(계급의 가운데 값) 과 계급의 크기(계급 폭) 의 차이이니 정의를 정확히 익히세요.,60-70 점 도수 5명 / 70-80 점 도수 8명 → 70-80 계급값 75 계급크기 10,
C02,상대도수와 도수분포다각형,확률·통계,중1,C01,계급별 비율과 꺾은선 그래프,상대도수는 그 계급의 도수를 전체 도수로 나눈 값으로 비율 또는 백분율로 나타내며 모든 계급의 상대도수의 합은 항상 1 또는 100% 입니다. 도수분포다각형은 히스토그램의 각 막대 윗변의 중점을 차례로 선분으로 이은 꺾은선이며 계급 끝에는 도수가 0 인 가상의 계급을 양 끝에 추가해 그래프가 가로축에 닿게 그립니다. 두 집단의 분포를 비교할 때 매우 유용해요.,도수 5/전체 20 → 상대도수 0.25 (또는 25%),
C03,대푯값 — 평균·중앙값·최빈값,확률·통계,중2,C01,자료를 대표하는 세 가지 값,평균은 모든 자료의 합을 자료의 개수로 나눈 값으로 가장 흔한 대푯값이지만 매우 크거나 작은 극단값에 영향을 많이 받아요. 중앙값은 자료를 크기 순으로 정렬했을 때 한가운데 있는 값이고 자료가 짝수 개면 가운데 두 값의 평균을 사용합니다. 최빈값은 가장 자주 나오는 값으로 자료가 두 개 이상의 같은 빈도를 가지면 모두 최빈값이 됩니다. 극단값이 있는 자료에서는 중앙값이 평균보다 더 적절한 대푯값이 되는 경우가 많아요.,"자료 2,4,4,5,9 → 평균 4.8 중앙값 4 최빈값 4",
C04,산포도와 표준편차,확률·통계,중3,C03,자료가 평균 주위에 얼마나 퍼져 있는가,편차는 각 자료 값에서 평균을 뺀 값이며 편차의 합은 항상 0 입니다. 분산은 편차를 제곱한 값들의 평균이고 표준편차는 분산의 양의 제곱근입니다. 표준편차가 작을수록 자료가 평균 가까이 모여 있고 클수록 평균에서 멀리 흩어져 있다는 뜻이에요. 표준편차의 단위는 원래 자료의 단위와 같아 해석하기 편하다는 장점이 있습니다. 시험에서는 분산을 구한 뒤 √ 를 씌우는 단계를 빠뜨리는 실수가 많으니 주의하세요.,"자료 4,5,6,7,8 평균 6 → 분산 2 표준편차 √2",
C05,경우의 수 — 합·곱의 법칙,확률·통계,중2,,여러 사건의 가짓수를 세는 두 원리,두 사건이 동시에 일어나지 않을 때 그 두 사건이 일어나는 경우의 수는 각각의 경우의 수를 더해서 구하는데 이를 합의 법칙이라 부릅니다. 두 사건이 잇달아 일어날 때 전체 경우의 수는 각각의 경우의 수를 곱해서 구하며 이를 곱의 법칙이라 합니다. 또는·이거나 같은 표현이면 합 동시에·그리고·연속해서 같은 표현이면 곱이라고 빠르게 판단하면 됩니다. 두 법칙을 거꾸로 쓰는 실수가 가장 많아요.,주사위 또는 동전: 6+2=8 / 주사위와 동전: 6×2=12,
C06,순열 (nPr),확률·통계,고1,C05,서로 다른 n 개 중 r 개를 순서 있게 뽑기,서로 다른 n 개에서 r 개를 뽑아 일렬로 늘어놓는 경우의 수를 순열이라 하고 nPr 로 적습니다. 공식은 n×(n-1)×(n-2)×···×(n-r+1) 인데 r 개의 자리에 차례로 후보가 한 개씩 줄어드는 것을 곱한 형태에요. 또는 nPr = n!/(n-r)! 로도 적습니다. n! 는 1부터 n 까지의 곱이며 0! = 1 이라는 약속이 있어요. 같은 것을 두 번 셀까봐 헷갈리는 학생이 많은데 순열은 순서가 다르면 다른 경우라고 외우세요.,서로 다른 5 명 중 3 명을 줄 세우기 5P3 = 5×4×3 = 60,
C07,조합 (nCr),확률·통계,고1,C06,서로 다른 n 개 중 r 개를 순서 없이 뽑기,서로 다른 n 개에서 r 개를 뽑되 뽑힌 r 개의 순서는 따지지 않을 때의 경우의 수를 조합이라 하고 nCr 로 적으며 공식은 nPr/r! = n!/((n-r)!·r!) 입니다. 순열에서 r 개를 줄 세우는 r! 가지를 모두 같은 한 가지로 보기 때문에 r! 로 나눈 거예요. 핵심 성질은 nCr = nC(n-r) 로 r 개 뽑기와 안 뽑을 (n-r) 개 뽑기가 같다는 대칭성이 있고 nC0 = nCn = 1 입니다.,서로 다른 5 명 중 2 명 뽑기 5C2 = 5!/(3!·2!) = 10,
C08,같은 것이 있는 순열,확률·통계,고1,C06,같은 글자가 섞여 있을 때 일렬로 배열,n 개를 일렬로 배열하는데 그 안에 같은 것이 각각 p 개 q 개 ··· 있다면 모든 배열의 수는 n!/(p!·q!···) 입니다. 단순히 n! 로 세면 같은 것끼리 자리를 바꾼 경우도 다른 경우로 중복해서 세기 때문에 같은 것의 개수의 계승으로 나누어 줘야 합니다. 시험에서 흔한 예가 단어 SUCCESS 의 모든 순열이며 S 가 3 개 C 가 2 개라 7!/(3!·2!) = 420 가지가 됩니다.,BANANA 의 순열 수 6!/(3!·2!) = 60 (A 3개 N 2개),
C09,확률의 정의와 기본 성질,확률·통계,중2,C05,어떤 사건이 일어날 가능성을 0~1 사이로,확률은 어떤 사건이 일어날 경우의 수를 전체 경우의 수로 나눈 값이며 0 이상 1 이하의 값을 가집니다. 확률 0 은 절대 일어나지 않는 사건 1 은 반드시 일어나는 사건이에요. 어떤 사건 A 의 여사건은 A 가 일어나지 않는 사건이며 P(A) + P(여사건) = 1 이라는 매우 자주 쓰는 관계가 있어요. 적어도 ··· 이상 같은 표현이 나오면 여사건으로 푸는 게 빠른 경우가 많습니다.,주사위 던져 짝수 나올 확률: 3/6 = 1/2  /  P(여사건) = 1 - 1/2 = 1/2,
C10,독립·종속 사건과 조건부 확률,확률·통계,고1,C09,두 사건이 서로 영향을 주는지,두 사건이 서로 영향을 주지 않으면 독립 영향을 주면 종속 사건이라 부릅니다. 독립이면 두 사건이 동시에 일어날 확률은 각각의 확률의 곱 P(A∩B) = P(A)·P(B) 로 단순해져요. 조건부확률 P(B|A) 는 사건 A 가 일어났다는 조건 아래 B 가 일어날 확률이며 P(A∩B)/P(A) 로 계산합니다. 시험에서 같은 동전을 여러 번 던지거나 주사위 두 개를 던지는 문제는 거의 항상 독립 사건이라 곱셈 규칙을 적용하면 돼요.,동전 두 번 모두 앞면: (1/2)×(1/2) = 1/4,
X01,복소수의 정의 (a+bi),복소수,고1,,실수+허수단위 i 형태로 확장된 수,"제곱해서 -1 이 되는 수를 i 라 약속하고(i² = -1) 임의의 두 실수 a, b 에 대해 a+bi 형태로 적은 수를 복소수라 부릅니다. a 를 실수부 b 를 허수부라 하며 b=0 이면 실수 a=0 이고 b≠0 이면 순허수가 돼요. 두 복소수가 같다는 것은 실수부와 허수부가 각각 같다는 것이며 이 성질로 미지수가 두 개 들어간 식의 등식 문제를 풀 수 있습니다. 자주 하는 실수는 i 를 변수처럼 다루는 것이지만 i 는 약속된 수이며 변수 아님을 기억하세요.",3+2i: 실수부 3 허수부 2 / 5: 실수 (b=0) / 4i: 순허수 (a=0),
X02,복소수의 사칙연산,복소수,고1,X01,실수처럼 더하고 곱하되 i² = -1 활용,복소수의 덧셈·뺄셈은 실수부끼리 허수부끼리 따로 계산하면 됩니다. 곱셈은 분배법칙으로 전개한 뒤 i² 가 나오면 -1 로 바꿔서 정리해요. 예를 들어 (a+bi)(c+di) = (ac-bd) + (ad+bc)i 형태가 됩니다. 나눗셈은 분모의 켤레복소수를 분자 분모에 모두 곱해서 분모를 실수로 만든 뒤 정리하는 방식이며 이 과정을 분모의 실수화라 부릅니다. 가장 흔한 실수는 i² 처리를 잊어 식이 길어지는 것이에요.,(2+i)+(3-2i)=5-i / (1+i)(1-i)=1-i²=2,
X03,켤레복소수,복소수,고1,X01,허수부 부호 바꾼 짝,복소수 z = a+bi 의 켤레복소수는 a-bi 이며 보통 z 위에 가로줄을 그어 표기합니다. 한 복소수와 그 켤레의 합은 2a (실수) 곱은 a²+b² (실수) 가 되어 항상 실수가 된다는 핵심 성질이 있어요. 이 성질 덕분에 분수형 복소수의 분모를 실수로 만들 때 켤레복소수를 곱하는 분모의 실수화 기법이 가능해집니다. 또한 한 복소수가 실수일 필요충분조건은 그 켤레와 같은 것 즉 z = z̄ 입니다.,z=3+4i 의 켤레 = 3-4i / z·z̄ = 9+16 = 25,
X04,i 의 거듭제곱,복소수,고1,X01,"i, -1, -i, 1 의 4 주기 반복","i¹ = i, i² = -1, i³ = -i, i⁴ = 1 이며 이후 같은 값들이 4 주기로 반복됩니다. 따라서 큰 지수의 i^n 을 구하려면 n 을 4 로 나눈 나머지로 결정하면 돼요. 나머지 0 → 1, 나머지 1 → i, 나머지 2 → -1, 나머지 3 → -i 입니다. 자주 묻는 형태가 i^100 같은 큰 거듭제곱이며 100÷4=25 나머지 0 이므로 답이 1 입니다. 또 1+i+i²+···+i^(4k-1) = 0 이라는 항등식도 자주 활용됩니다.",i⁵ = i (5÷4 나머지 1) / i¹⁰⁰ = 1 (나머지 0) / i⁻¹ = -i,
Y01,비와 비율,비·비례,초6,,두 양을 견주는 표현과 그 값,두 양을 비교할 때 a:b 처럼 콜론을 써서 적은 것을 비라 하고 a÷b = a/b 처럼 분수로 나타낸 값을 그 비율이라 부릅니다. 비 a:b 와 a/b 는 다르지 않고 같은 의미를 다른 형태로 적은 것이며 둘 다 a 가 b 의 몇 배인지를 나타내요. 비의 두 항에 0 이 아닌 같은 수를 곱하거나 나누어도 비율이 변하지 않는 비의 성질은 약분/통분의 근거이며 가장 자주 활용됩니다.,4:6 = 2:3 (양항 ÷2)  /  비율 4/6 = 2/3,
Y02,백분율,비·비례,초6,Y01,비율을 100 을 기준으로 % 표기,백분율은 어떤 양이 기준량의 100 등분 중 몇 인가를 나타내는 표현이며 % 기호를 사용합니다. 분수 또는 소수의 비율에 100 을 곱한 값이 백분율이고 반대로 백분율을 100 으로 나누면 분수·소수 비율로 돌아가요. 25/100 = 0.25 = 25% 같은 식이며 시험에서는 % 인상·할인 같은 형태로 자주 출제됩니다. 자주 하는 실수는 30% 인상과 30% 할인의 차이를 잘못 보는 것이며 인상은 ×1.3 할인은 ×0.7 입니다.,0.4 = 40% / 3/5 = 60% / 20%할인: ×0.8,
Y03,비례식과 비례배분,비·비례,중1,Y01,a:b = c:d 의 성질과 양 나누기,두 비가 같음을 등식으로 적은 것이 비례식 a:b = c:d 이며 외항의 곱과 내항의 곱은 항상 같다는 성질 ad = bc 가 성립합니다. 이를 이용해 한 항이 미지수일 때 식을 풀어 값을 구할 수 있어요. 비례배분은 어떤 양을 두 비 a:b 로 나누는 것인데 전체를 a+b 등분 한 뒤 a 등분과 b 등분으로 나누면 됩니다. 90 을 2:3 으로 비례배분하면 90×2/5=36 과 90×3/5=54 가 됩니다.,3:x = 6:8 → x = 4 (외항·내항 곱)  /  100 을 3:7 → 30 과 70,
Y04,정비례 y = ax,비·비례,중1,Y01,x 가 늘면 y 도 같은 비율로 늚,"x 의 값이 2배 3배가 될 때 y 의 값도 2배 3배가 되는 관계를 정비례라 하며 y = ax (a≠0) 형태로 적습니다. a 를 비례상수라 부르고 그래프는 원점을 지나는 직선이에요. 두 양 x y 의 비율 y/x 가 항상 일정 (= a) 이라는 점이 핵심이며 시험에서 한 쌍의 (x, y) 만 알면 a 를 구할 수 있고 그걸로 다른 모든 점을 알 수 있습니다.","y = 3x 일 때 x=2 → y=6, x=5 → y=15","line:3,0"
Y05,반비례 y = a/x,비·비례,중1,Y01,x 가 늘면 y 가 같은 비율로 줆,"x 의 값이 2배 3배가 될 때 y 의 값이 1/2 배 1/3 배가 되는 관계를 반비례라 하며 y = a/x (a≠0) 형태로 적습니다. 두 양의 곱 xy 가 항상 일정 (= a) 이라는 점이 핵심이고 그래프는 원점에 대해 대칭인 한 쌍의 곡선(쌍곡선) 입니다. 한 쌍의 (x, y) 만 알면 비례상수 a 를 곧바로 구할 수 있어 정비례와 다루는 방식이 비슷해요.","y = 12/x 일 때 x=2 → y=6, x=3 → y=4",hyperbola:12
L01,다면체 (각기둥·각뿔·정다면체),입체도형,중1,D01,평면 다각형들로만 이루어진 입체도형,꼭짓점·모서리·면이 모두 다각형으로만 이루어진 입체를 다면체라 합니다. 두 합동인 다각형이 평행하게 마주보고 옆면이 직사각형인 도형은 각기둥 한 다각형 위에 한 점이 있고 옆면이 모두 삼각형인 도형은 각뿔이라 부릅니다. 모든 면이 합동인 정다각형이고 한 꼭짓점에 모인 면의 개수가 같은 다면체를 정다면체라 하며 정사면체·정육면체·정팔면체·정십이면체·정이십면체 5 개만 존재합니다. 오일러 공식 v - e + f = 2 (꼭짓점-모서리+면=2) 가 모든 다면체에 성립해요.,삼각기둥: 면 5 모서리 9 꼭짓점 6 / 정육면체: 면 6 / 정사면체: 면 4,
L02,회전체 (원기둥·원뿔·구),입체도형,중1,L01,평면도형을 한 직선을 축으로 1 회전한 입체,직사각형을 한 변을 축으로 회전하면 원기둥 직각삼각형의 한 직각변을 축으로 회전하면 원뿔 반원의 지름을 축으로 회전하면 구 가 만들어집니다. 회전체의 회전축을 포함한 평면으로 자른 단면은 항상 좌우 대칭인 도형이고 회전축에 수직인 평면으로 자른 단면은 항상 원이라는 두 가지 핵심 성질을 시험에서 자주 묻습니다. 회전체는 다면체와 달리 곡면을 포함한다는 점이 결정적인 차이입니다.,직사각형 회전 → 원기둥 / 직각삼각형 회전 → 원뿔 / 반원 회전 → 구,
L03,입체도형의 표면적,입체도형,중1,L02,입체의 모든 면의 넓이의 합,입체도형의 모든 겉면을 펼쳐 평면도형으로 본 후 그 넓이의 합이 표면적입니다. 직육면체는 마주보는 세 쌍의 직사각형 (가로×세로 + 세로×높이 + 가로×높이) 의 합 ×2 이고 원기둥은 두 원의 넓이 + 옆면(전개하면 직사각형) 의 넓이 합이며 원뿔은 밑면 원 + 옆면(부채꼴) 입니다. 구의 표면적은 4πr² 라는 공식을 외우는 것이 가장 빠릅니다. 자주 하는 실수는 표면적과 부피의 공식을 헷갈리는 것이에요.,직육면체 2(ab+bc+ca) / 원기둥 2πr² + 2πrh / 구 4πr²,
L04,입체도형의 부피,입체도형,중1,L02,입체가 차지하는 공간의 양,직육면체의 부피는 가로×세로×높이로 가장 단순합니다. 각기둥과 원기둥은 밑넓이×높이로 둘 다 같은 형태에요. 각뿔과 원뿔은 그에 대응하는 기둥의 1/3 즉 밑넓이×높이/3 이고 구의 부피는 (4/3)πr³ 라는 공식이 있습니다. 단위가 cm 라면 부피의 단위는 cm³ 임을 잊지 말고 표면적과 부피 공식을 헷갈리지 않도록 정리해 두세요. 길이가 두 배 되면 부피는 8 배 된다는 점도 응용에서 자주 묻습니다.,원기둥 πr²h / 원뿔 πr²h/3 / 구 4πr³/3,
D11,평행이동,도형의 이동,고1,G01,도형을 같은 방향 같은 거리만큼 옮기기,"평면 위의 한 점 (x, y) 를 x 축 방향으로 a 만큼 y 축 방향으로 b 만큼 옮기면 새 점은 (x+a, y+b) 가 됩니다. 도형 전체를 이렇게 옮기는 것을 평행이동이라 하고 도형 위의 모든 점이 같은 방향 같은 거리로 움직이므로 모양과 크기는 그대로 유지돼요. 도형이 만족하는 식을 평행이동하려면 식 안의 x 자리에 x-a 를 y 자리에 y-b 를 대입하면 됩니다. 이항 부호를 거꾸로 적는 실수가 가장 많아요.","점 (2,3) 을 x:1 y:-2 평행이동 → (3, 1)  /  y=x²+1 평행이동 → y-b=(x-a)²+1",
D12,대칭이동,도형의 이동,고1,G01,직선·점에 대해 거울처럼 뒤집기,"x 축에 대한 대칭이동은 (x, y) → (x, -y) y 축에 대한 대칭이동은 (x, y) → (-x, y) 원점에 대한 대칭이동은 (x, y) → (-x, -y) 직선 y=x 에 대한 대칭이동은 (x, y) → (y, x) 입니다. 도형의 식에 대칭이동을 적용하려면 위 변환 규칙에 따라 식 안의 x 와 y 를 동시에 바꾸어 적으면 돼요. 자주 하는 실수는 어느 축에 대한 것인지 헷갈리는 것이며 x 축 대칭은 y 부호만 바뀐다고 외우는 것이 좋습니다.","점 (3, 4) → x축 대칭 (3, -4) / y축 (-3, 4) / 원점 (-3, -4) / y=x (4, 3)",
D13,점·도형의 이동 종합,도형의 이동,고1,D11;D12,평행이동과 대칭이동을 함께 적용,"여러 가지 이동을 차례로 적용할 때는 한 번에 하나씩 정확히 처리해야 합니다. 예를 들어 점을 x 축으로 1 평행이동 후 y 축에 대칭이동하면 (x, y) → (x+1, y) → (-(x+1), y) 와 같이 두 단계로 진행하면 돼요. 도형의 식을 다룰 때도 같은 순서로 식을 변형하면 결과가 일관됩니다. 시험에서는 두 도형이 평행이동·대칭이동으로 일치하는지 묻는 형태가 자주 나오고 두 도형의 식이 변환 후에 같은가를 비교하면 답이 나옵니다.","(2, 3) → x축 평행 -1 → (1, 3) → 원점 대칭 → (-1, -3)",
W01,행렬의 덧셈·뺄셈·실수배,행렬,고1,,같은 크기 행렬끼리 같은 자리 성분 연산,직사각형 모양으로 수를 나란히 적은 것을 행렬이라 하고 가로줄을 행 세로줄을 열이라 부릅니다. 두 행렬을 더하거나 빼려면 두 행렬의 크기(행과 열의 개수)가 같아야 하고 같은 위치의 성분끼리 더하거나 빼면 돼요. 행렬에 실수 k 를 곱하는 실수배는 모든 성분에 k 를 곱하는 것이며 이 세 연산은 실수의 사칙연산과 매우 비슷하게 작용합니다. 크기가 다른 두 행렬은 더할 수 없다는 점이 시험에서 잘 나옵니다.,"[[1,2],[3,4]] + [[5,6],[7,8]] = [[6,8],[10,12]]  /  3·[[1,2],[3,4]] = [[3,6],[9,12]]",
W02,행렬의 곱셈,행렬,고1,W01,왼쪽 행과 오른쪽 열의 대응 곱의 합,"두 행렬 A 와 B 를 곱하려면 A 의 열의 개수와 B 의 행의 개수가 같아야 합니다. 결과 행렬의 (i, j) 성분은 A 의 i 행과 B 의 j 열의 같은 자리끼리 곱한 합으로 정해져요. 행렬의 곱셈은 일반적으로 교환법칙이 성립하지 않아 AB 와 BA 가 다를 수 있다는 점이 실수와의 결정적 차이입니다. 결합법칙과 분배법칙은 그대로 성립해요. 곱셈이 가능한 순서를 잘못 적는 실수가 가장 많습니다.","[[1,2],[3,4]] · [[5,6],[7,8]] = [[19,22],[43,50]]",
W03,단위행렬·역행렬,행렬,고1,W02,항등원과 역원 — 실수의 1 과 1/x 처럼,"대각선이 모두 1 이고 나머지 성분이 0 인 정사각행렬을 단위행렬 E 라 하며 어떤 정사각행렬 A 와 곱해도 AE = EA = A 가 성립해 실수의 1 과 비슷한 역할을 합니다. 정사각행렬 A 에 대해 AB = BA = E 를 만족하는 행렬 B 가 있으면 B 를 A 의 역행렬이라 하고 A⁻¹ 로 표기해요. 모든 행렬이 역행렬을 가지지는 않으며 2×2 행렬 [[a,b],[c,d]] 의 역행렬이 존재할 필요충분조건은 ad-bc ≠ 0 입니다.","E = [[1,0],[0,1]] / [[1,2],[3,4]]⁻¹ 의 ad-bc = -2 ≠ 0 → 존재",
